{20} -> {17} (conf: 0.921, supp: 0.275, lift: 2.972, conv: 8.698)
{23} -> {18} (conf: 0.918, supp: 0.269, lift: 3.093, conv: 8.555)
{18} -> {23} (conf: 0.906, supp: 0.269, lift: 3.093, conv: 7.548)
{24} -> {18} (conf: 0.925, supp: 0.269, lift: 3.117, conv: 9.378)
{18} -> {24} (conf: 0.906, supp: 0.269, lift: 3.117, conv: 7.519)
{27} -> {18} (conf: 0.905, supp: 0.255, lift: 3.050, conv: 7.411)
{27} -> {21} (conf: 0.911, supp: 0.257, lift: 3.191, conv: 8.064)
{21} -> {27} (conf: 0.901, supp: 0.257, lift: 3.191, conv: 7.238)
{27} -> {24} (conf: 0.916, supp: 0.258, lift: 3.151, conv: 8.411)
{27} -> {25} (conf: 0.909, supp: 0.257, lift: 3.174, conv: 7.860)
{52} -> {49} (conf: 0.923, supp: 0.166, lift: 5.075, conv: 10.580)
{49} -> {52} (conf: 0.914, supp: 0.166, lift: 5.075, conv: 9.525)
{56} -> {52} (conf: 0.914, supp: 0.161, lift: 5.075, conv: 9.525)
{20, 25, 27} -> {21} (conf: 0.943, supp: 0.121, lift: 3.302, conv: 12.542)
{20, 21, 27} -> {25} (conf: 0.943, supp: 0.121, lift: 3.294, conv: 12.618)
{20, 21, 25} -> {27} (conf: 0.966, supp: 0.121, lift: 3.423, conv: 21.260)
{20, 24, 25} -> {23} (conf: 0.931, supp: 0.117, lift: 3.176, conv: 10.228)
{20, 23, 25} -> {24} (conf: 0.961, supp: 0.117, lift: 3.307, conv: 18.196)
{20, 23, 24} -> {25} (conf: 0.920, supp: 0.117, lift: 3.213, conv: 8.969)
{20, 24, 27} -> {23} (conf: 0.935, supp: 0.119, lift: 3.190, conv: 10.851)
{20, 23, 27} -> {24} (conf: 0.963, supp: 0.119, lift: 3.316, conv: 19.387)
{20, 23, 24} -> {27} (conf: 0.940, supp: 0.119, lift: 3.331, conv: 12.036)
{20, 25, 27} -> {23} (conf: 0.916, supp: 0.117, lift: 3.127, conv: 8.455)
{20, 23, 27} -> {25} (conf: 0.946, supp: 0.117, lift: 3.304, conv: 13.292)
{20, 23, 25} -> {27} (conf: 0.964, supp: 0.117, lift: 3.416, conv: 20.161)
{20, 25, 27} -> {24} (conf: 0.946, supp: 0.121, lift: 3.254, conv: 13.024)
{20, 24, 27} -> {25} (conf: 0.947, supp: 0.121, lift: 3.308, conv: 13.583)
{20, 24, 25} -> {27} (conf: 0.964, supp: 0.121, lift: 3.415, conv: 19.868)
{23, 24, 25} -> {21} (conf: 0.957, supp: 0.222, lift: 3.349, conv: 16.443)
{21, 24, 25} -> {23} (conf: 0.942, supp: 0.222, lift: 3.214, conv: 12.193)
{21, 23, 25} -> {24} (conf: 0.969, supp: 0.222, lift: 3.334, conv: 22.593)
{21, 23, 24} -> {25} (conf: 0.925, supp: 0.222, lift: 3.230, conv: 9.554)
{23, 25} -> {21, 24} (conf: 0.914, supp: 0.222, lift: 3.557, conv: 8.665)
{23, 24, 26} -> {21} (conf: 0.938, supp: 0.105, lift: 3.285, conv: 11.537)
{21, 24, 26} -> {23} (conf: 0.934, supp: 0.105, lift: 3.189, conv: 10.788)
{21, 23, 26} -> {24} (conf: 0.958, supp: 0.105, lift: 3.296, conv: 16.765)
{23, 24, 27} -> {21} (conf: 0.961, supp: 0.230, lift: 3.364, conv: 18.183)
{21, 24, 27} -> {23} (conf: 0.942, supp: 0.230, lift: 3.215, conv: 12.246)
{21, 23, 27} -> {24} (conf: 0.968, supp: 0.230, lift: 3.330, conv: 21.846)
{21, 23, 24} -> {27} (conf: 0.959, supp: 0.230, lift: 3.397, conv: 17.467)
{23, 27} -> {21, 24} (conf: 0.922, supp: 0.230, lift: 3.589, conv: 9.555)
{21, 23} -> {24, 27} (conf: 0.914, supp: 0.230, lift: 3.536, conv: 8.622)
{23, 25, 26} -> {21} (conf: 0.950, supp: 0.100, lift: 3.327, conv: 14.321)
{21, 25, 26} -> {23} (conf: 0.925, supp: 0.100, lift: 3.157, conv: 9.445)
{21, 23, 26} -> {25} (conf: 0.917, supp: 0.100, lift: 3.201, conv: 8.588)
{23, 25, 27} -> {21} (conf: 0.958, supp: 0.223, lift: 3.356, conv: 17.142)
{21, 25, 27} -> {23} (conf: 0.933, supp: 0.223, lift: 3.184, conv: 10.590)
{21, 23, 27} -> {25} (conf: 0.939, supp: 0.223, lift: 3.277, conv: 11.666)
{21, 23, 25} -> {27} (conf: 0.974, supp: 0.223, lift: 3.450, conv: 27.600)
{23, 25} -> {21, 27} (conf: 0.919, supp: 0.223, lift: 3.573, conv: 9.208)
{23, 26, 27} -> {21} (conf: 0.959, supp: 0.104, lift: 3.359, conv: 17.610)
{21, 26, 27} -> {23} (conf: 0.926, supp: 0.104, lift: 3.160, conv: 9.578)
{21, 23, 26} -> {27} (conf: 0.948, supp: 0.104, lift: 3.359, conv: 13.826)
{24, 25, 26} -> {21} (conf: 0.945, supp: 0.103, lift: 3.307, conv: 12.890)
{21, 25, 26} -> {24} (conf: 0.955, supp: 0.103, lift: 3.285, conv: 15.605)
{21, 24, 26} -> {25} (conf: 0.923, supp: 0.103, lift: 3.222, conv: 9.279)
{24, 25, 27} -> {21} (conf: 0.949, supp: 0.229, lift: 3.324, conv: 14.120)
{21, 25, 27} -> {24} (conf: 0.959, supp: 0.229, lift: 3.299, conv: 17.149)
{21, 24, 27} -> {25} (conf: 0.939, supp: 0.229, lift: 3.279, conv: 11.737)
{21, 24, 25} -> {27} (conf: 0.973, supp: 0.229, lift: 3.447, conv: 26.621)
{24, 25} -> {21, 27} (conf: 0.910, supp: 0.229, lift: 3.538, conv: 8.265)
{21, 25} -> {24, 27} (conf: 0.922, supp: 0.229, lift: 3.566, conv: 9.482)
{24, 26, 27} -> {21} (conf: 0.954, supp: 0.107, lift: 3.339, conv: 15.446)
{21, 26, 27} -> {24} (conf: 0.956, supp: 0.107, lift: 3.290, conv: 16.118)
{21, 24, 26} -> {27} (conf: 0.955, supp: 0.107, lift: 3.383, conv: 15.901)
{25, 26, 27} -> {21} (conf: 0.944, supp: 0.104, lift: 3.305, conv: 12.706)
{21, 26, 27} -> {25} (conf: 0.933, supp: 0.104, lift: 3.256, conv: 10.606)
{21, 25, 26} -> {27} (conf: 0.963, supp: 0.104, lift: 3.413, conv: 19.585)
{24, 25, 26} -> {23} (conf: 0.926, supp: 0.101, lift: 3.161, conv: 9.611)
{23, 25, 26} -> {24} (conf: 0.961, supp: 0.101, lift: 3.309, conv: 18.416)
{23, 24, 26} -> {25} (conf: 0.909, supp: 0.101, lift: 3.173, conv: 7.831)
{24, 25, 27} -> {23} (conf: 0.935, supp: 0.225, lift: 3.190, conv: 10.846)
{23, 25, 27} -> {24} (conf: 0.969, supp: 0.225, lift: 3.336, conv: 23.083)
{23, 24, 27} -> {25} (conf: 0.943, supp: 0.225, lift: 3.291, conv: 12.489)
{23, 24, 25} -> {27} (conf: 0.973, supp: 0.225, lift: 3.446, conv: 26.451)
{23, 27} -> {24, 25} (conf: 0.905, supp: 0.225, lift: 3.597, conv: 7.887)
{23, 25} -> {24, 27} (conf: 0.930, supp: 0.225, lift: 3.597, conv: 10.569)
{24, 26, 27} -> {23} (conf: 0.932, supp: 0.104, lift: 3.179, conv: 10.326)
{23, 26, 27} -> {24} (conf: 0.967, supp: 0.104, lift: 3.329, conv: 21.651)
{23, 24, 26} -> {27} (conf: 0.936, supp: 0.104, lift: 3.317, conv: 11.255)
{25, 26, 27} -> {23} (conf: 0.916, supp: 0.101, lift: 3.126, conv: 8.416)
{23, 26, 27} -> {25} (conf: 0.938, supp: 0.101, lift: 3.274, conv: 11.464)
{23, 25, 26} -> {27} (conf: 0.960, supp: 0.101, lift: 3.402, conv: 18.049)
{25, 26, 27} -> {24} (conf: 0.951, supp: 0.105, lift: 3.273, conv: 14.496)
{24, 26, 27} -> {25} (conf: 0.938, supp: 0.105, lift: 3.274, conv: 11.457)
{24, 25, 26} -> {27} (conf: 0.961, supp: 0.105, lift: 3.403, conv: 18.242)
{2, 17, 18, 20} -> {1} (conf: 0.954, supp: 0.103, lift: 2.235, conv: 12.468)
{1, 17, 18, 20} -> {2} (conf: 0.901, supp: 0.103, lift: 2.203, conv: 5.982)
{1, 2, 18, 20} -> {17} (conf: 0.968, supp: 0.103, lift: 3.124, conv: 21.435)
{1, 2, 17, 18} -> {20} (conf: 0.914, supp: 0.103, lift: 3.062, conv: 8.177)
{2, 18, 20} -> {1, 17} (conf: 0.911, supp: 0.103, lift: 3.509, conv: 8.283)
{2, 17, 18, 21} -> {1} (conf: 0.953, supp: 0.103, lift: 2.232, conv: 12.130)
{1, 17, 18, 21} -> {2} (conf: 0.909, supp: 0.103, lift: 2.222, conv: 6.464)
{1, 2, 17, 21} -> {18} (conf: 0.940, supp: 0.103, lift: 3.167, conv: 11.724)
{1, 2, 17, 18} -> {21} (conf: 0.912, supp: 0.103, lift: 3.192, conv: 8.094)
{2, 17, 18, 23} -> {1} (conf: 0.948, supp: 0.106, lift: 2.221, conv: 11.067)
{1, 17, 18, 23} -> {2} (conf: 0.911, supp: 0.106, lift: 2.227, conv: 6.638)
{1, 2, 17, 23} -> {18} (conf: 0.952, supp: 0.106, lift: 3.207, conv: 14.615)
{1, 2, 17, 18} -> {23} (conf: 0.940, supp: 0.106, lift: 3.209, conv: 11.880)
{2, 17, 23} -> {1, 18} (conf: 0.901, supp: 0.106, lift: 5.692, conv: 8.511)
{2, 17, 18, 24} -> {1} (conf: 0.948, supp: 0.106, lift: 2.222, conv: 11.088)
{1, 17, 18, 24} -> {2} (conf: 0.908, supp: 0.106, lift: 2.219, conv: 6.399)
{1, 2, 17, 24} -> {18} (conf: 0.956, supp: 0.106, lift: 3.221, conv: 15.988)
{1, 2, 17, 18} -> {24} (conf: 0.939, supp: 0.106, lift: 3.233, conv: 11.693)
{2, 17, 24} -> {1, 18} (conf: 0.906, supp: 0.106, lift: 5.726, conv: 9.000)
{2, 17, 18, 25} -> {1} (conf: 0.951, supp: 0.102, lift: 2.228, conv: 11.710)
{1, 17, 18, 25} -> {2} (conf: 0.914, supp: 0.102, lift: 2.235, conv: 6.872)
{1, 2, 17, 25} -> {18} (conf: 0.934, supp: 0.102, lift: 3.148, conv: 10.693)
{1, 2, 17, 18} -> {25} (conf: 0.904, supp: 0.102, lift: 3.157, conv: 7.466)
{2, 17, 18, 27} -> {1} (conf: 0.950, supp: 0.103, lift: 2.226, conv: 11.520)
{1, 17, 18, 27} -> {2} (conf: 0.909, supp: 0.103, lift: 2.221, conv: 6.460)
{1, 2, 17, 27} -> {18} (conf: 0.948, supp: 0.103, lift: 3.194, conv: 13.468)
{1, 2, 17, 18} -> {27} (conf: 0.911, supp: 0.103, lift: 3.228, conv: 8.086)
{2, 17, 20, 23} -> {1} (conf: 0.953, supp: 0.102, lift: 2.234, conv: 12.323)
{1, 2, 20, 23} -> {17} (conf: 0.970, supp: 0.102, lift: 3.131, conv: 22.880)
{1, 2, 17, 23} -> {20} (conf: 0.914, supp: 0.102, lift: 3.061, conv: 8.159)
{2, 20, 23} -> {1, 17} (conf: 0.913, supp: 0.102, lift: 3.517, conv: 8.478)
{2, 17, 20, 24} -> {1} (conf: 0.954, supp: 0.101, lift: 2.235, conv: 12.509)
{1, 2, 20, 24} -> {17} (conf: 0.968, supp: 0.101, lift: 3.126, conv: 21.844)
{1, 2, 17, 24} -> {20} (conf: 0.913, supp: 0.101, lift: 3.056, conv: 8.019)
{2, 20, 24} -> {1, 17} (conf: 0.912, supp: 0.101, lift: 3.513, conv: 8.378)
{2, 17, 21, 23} -> {1} (conf: 0.952, supp: 0.101, lift: 2.231, conv: 12.019)
{1, 17, 21, 23} -> {2} (conf: 0.907, supp: 0.101, lift: 2.217, conv: 6.344)
{1, 2, 17, 23} -> {21} (conf: 0.910, supp: 0.101, lift: 3.188, conv: 7.982)
{1, 2, 17, 21} -> {23} (conf: 0.928, supp: 0.101, lift: 3.165, conv: 9.752)
{2, 17, 21, 24} -> {1} (conf: 0.952, supp: 0.103, lift: 2.230, conv: 11.900)
{1, 17, 21, 24} -> {2} (conf: 0.903, supp: 0.103, lift: 2.208, conv: 6.105)
{1, 2, 17, 24} -> {21} (conf: 0.933, supp: 0.103, lift: 3.266, conv: 10.637)
{1, 2, 17, 21} -> {24} (conf: 0.945, supp: 0.103, lift: 3.252, conv: 12.896)
{2, 17, 21, 25} -> {1} (conf: 0.952, supp: 0.101, lift: 2.230, conv: 11.964)
{1, 17, 21, 25} -> {2} (conf: 0.905, supp: 0.101, lift: 2.213, conv: 6.226)
{1, 2, 17, 25} -> {21} (conf: 0.928, supp: 0.101, lift: 3.250, conv: 9.954)
{1, 2, 17, 21} -> {25} (conf: 0.926, supp: 0.101, lift: 3.234, conv: 9.705)
{2, 17, 21, 27} -> {1} (conf: 0.952, supp: 0.103, lift: 2.230, conv: 11.910)
{1, 2, 17, 27} -> {21} (conf: 0.951, supp: 0.103, lift: 3.329, conv: 14.499)
{1, 2, 17, 21} -> {27} (conf: 0.942, supp: 0.103, lift: 3.339, conv: 12.464)
{2, 17, 27} -> {1, 21} (conf: 0.902, supp: 0.103, lift: 5.747, conv: 8.634)
{2, 17, 23, 24} -> {1} (conf: 0.949, supp: 0.103, lift: 2.224, conv: 11.334)
{1, 17, 23, 24} -> {2} (conf: 0.911, supp: 0.103, lift: 2.228, conv: 6.655)
{1, 2, 17, 24} -> {23} (conf: 0.934, supp: 0.103, lift: 3.187, conv: 10.687)
{1, 2, 17, 23} -> {24} (conf: 0.929, supp: 0.103, lift: 3.196, conv: 9.946)
{2, 17, 23, 27} -> {1} (conf: 0.951, supp: 0.101, lift: 2.227, conv: 11.633)
{1, 17, 23, 27} -> {2} (conf: 0.909, supp: 0.101, lift: 2.221, conv: 6.462)
{1, 2, 17, 27} -> {23} (conf: 0.931, supp: 0.101, lift: 3.176, conv: 10.222)
{1, 2, 17, 23} -> {27} (conf: 0.906, supp: 0.101, lift: 3.209, conv: 7.618)
{2, 17, 24, 25} -> {1} (conf: 0.950, supp: 0.102, lift: 2.226, conv: 11.561)
{1, 17, 24, 25} -> {2} (conf: 0.910, supp: 0.102, lift: 2.225, conv: 6.573)
{1, 2, 17, 25} -> {24} (conf: 0.935, supp: 0.102, lift: 3.218, conv: 10.902)
{1, 2, 17, 24} -> {25} (conf: 0.921, supp: 0.102, lift: 3.216, conv: 9.051)
{2, 17, 24, 27} -> {1} (conf: 0.950, supp: 0.103, lift: 2.225, conv: 11.378)
{1, 17, 24, 27} -> {2} (conf: 0.903, supp: 0.103, lift: 2.208, conv: 6.096)
{1, 2, 17, 27} -> {24} (conf: 0.952, supp: 0.103, lift: 3.276, conv: 14.708)
{1, 2, 17, 24} -> {27} (conf: 0.931, supp: 0.103, lift: 3.299, conv: 10.449)
{2, 17, 27} -> {1, 24} (conf: 0.903, supp: 0.103, lift: 5.806, conv: 8.737)
{2, 17, 25, 27} -> {1} (conf: 0.950, supp: 0.103, lift: 2.225, conv: 11.393)
{1, 2, 17, 27} -> {25} (conf: 0.950, supp: 0.103, lift: 3.316, conv: 14.231)
{1, 2, 17, 25} -> {27} (conf: 0.943, supp: 0.103, lift: 3.342, conv: 12.667)
{2, 17, 27} -> {1, 25} (conf: 0.902, supp: 0.103, lift: 5.772, conv: 8.570)
{1, 18, 21, 23} -> {2} (conf: 0.907, supp: 0.120, lift: 2.218, conv: 6.366)
{1, 2, 21, 23} -> {18} (conf: 0.974, supp: 0.120, lift: 3.282, conv: 27.142)
{1, 2, 18, 23} -> {21} (conf: 0.922, supp: 0.120, lift: 3.227, conv: 9.126)
{1, 2, 18, 21} -> {23} (conf: 0.957, supp: 0.120, lift: 3.265, conv: 16.379)
{1, 18, 21, 24} -> {2} (conf: 0.907, supp: 0.122, lift: 2.216, conv: 6.321)
{1, 2, 21, 24} -> {18} (conf: 0.964, supp: 0.122, lift: 3.249, conv: 19.658)
{1, 2, 18, 24} -> {21} (conf: 0.929, supp: 0.122, lift: 3.254, conv: 10.109)
{1, 2, 18, 21} -> {24} (conf: 0.967, supp: 0.122, lift: 3.327, conv: 21.376)
{1, 18, 21, 25} -> {2} (conf: 0.912, supp: 0.118, lift: 2.230, conv: 6.712)
{1, 2, 21, 25} -> {18} (conf: 0.956, supp: 0.118, lift: 3.220, conv: 15.839)
{1, 2, 18, 25} -> {21} (conf: 0.943, supp: 0.118, lift: 3.304, conv: 12.642)
{1, 2, 18, 21} -> {25} (conf: 0.942, supp: 0.118, lift: 3.288, conv: 12.262)
{1, 18, 21, 27} -> {2} (conf: 0.905, supp: 0.120, lift: 2.214, conv: 6.251)
{1, 2, 21, 27} -> {18} (conf: 0.957, supp: 0.120, lift: 3.225, conv: 16.418)
{1, 2, 18, 27} -> {21} (conf: 0.953, supp: 0.120, lift: 3.337, conv: 15.219)
{1, 2, 18, 21} -> {27} (conf: 0.958, supp: 0.120, lift: 3.393, conv: 17.040)
{1, 18, 23, 24} -> {2} (conf: 0.909, supp: 0.124, lift: 2.224, conv: 6.530)
{1, 2, 23, 24} -> {18} (conf: 0.977, supp: 0.124, lift: 3.290, conv: 29.947)
{1, 2, 18, 24} -> {23} (conf: 0.946, supp: 0.124, lift: 3.228, conv: 13.073)
{1, 2, 18, 23} -> {24} (conf: 0.948, supp: 0.124, lift: 3.263, conv: 13.632)
{1, 18, 23, 25} -> {2} (conf: 0.914, supp: 0.119, lift: 2.236, conv: 6.911)
{1, 2, 23, 25} -> {18} (conf: 0.973, supp: 0.119, lift: 3.279, conv: 26.290)
{1, 2, 18, 25} -> {23} (conf: 0.944, supp: 0.119, lift: 3.221, conv: 12.610)
{1, 2, 18, 23} -> {25} (conf: 0.908, supp: 0.119, lift: 3.169, conv: 7.728)
{1, 18, 23, 27} -> {2} (conf: 0.908, supp: 0.120, lift: 2.220, conv: 6.422)
{1, 2, 23, 27} -> {18} (conf: 0.975, supp: 0.120, lift: 3.286, conv: 28.202)
{1, 2, 18, 27} -> {23} (conf: 0.950, supp: 0.120, lift: 3.240, conv: 14.041)
{1, 2, 18, 23} -> {27} (conf: 0.919, supp: 0.120, lift: 3.257, conv: 8.908)
{1, 18, 24, 25} -> {2} (conf: 0.912, supp: 0.121, lift: 2.231, conv: 6.747)
{1, 2, 24, 25} -> {18} (conf: 0.964, supp: 0.121, lift: 3.247, conv: 19.392)
{1, 2, 18, 25} -> {24} (conf: 0.963, supp: 0.121, lift: 3.314, conv: 19.109)
{1, 2, 18, 24} -> {25} (conf: 0.924, supp: 0.121, lift: 3.225, conv: 9.375)
{1, 18, 24, 27} -> {2} (conf: 0.907, supp: 0.122, lift: 2.217, conv: 6.338)
{1, 2, 24, 27} -> {18} (conf: 0.966, supp: 0.122, lift: 3.255, conv: 20.598)
{1, 2, 18, 27} -> {24} (conf: 0.968, supp: 0.122, lift: 3.331, conv: 21.976)
{1, 2, 18, 24} -> {27} (conf: 0.935, supp: 0.122, lift: 3.312, conv: 11.026)
{1, 2, 27} -> {18, 24} (conf: 0.909, supp: 0.122, lift: 3.381, conv: 8.005)
{1, 18, 25, 27} -> {2} (conf: 0.911, supp: 0.121, lift: 2.227, conv: 6.615)
{1, 2, 25, 27} -> {18} (conf: 0.955, supp: 0.121, lift: 3.218, conv: 15.678)
{1, 2, 18, 27} -> {25} (conf: 0.955, supp: 0.121, lift: 3.335, conv: 16.008)
{1, 2, 18, 25} -> {27} (conf: 0.962, supp: 0.121, lift: 3.408, conv: 18.877)
{1, 21, 23, 24} -> {2} (conf: 0.908, supp: 0.119, lift: 2.220, conv: 6.420)
{1, 2, 23, 24} -> {21} (conf: 0.941, supp: 0.119, lift: 3.295, conv: 12.093)
{1, 2, 21, 24} -> {23} (conf: 0.946, supp: 0.119, lift: 3.227, conv: 13.013)
{1, 2, 21, 23} -> {24} (conf: 0.965, supp: 0.119, lift: 3.322, conv: 20.447)
{1, 21, 23, 25} -> {2} (conf: 0.914, supp: 0.116, lift: 2.235, conv: 6.876)
{1, 2, 23, 25} -> {21} (conf: 0.956, supp: 0.116, lift: 3.349, conv: 16.363)
{1, 2, 21, 25} -> {23} (conf: 0.939, supp: 0.116, lift: 3.206, conv: 11.674)
{1, 2, 21, 23} -> {25} (conf: 0.943, supp: 0.116, lift: 3.290, conv: 12.426)
{1, 21, 23, 27} -> {2} (conf: 0.905, supp: 0.119, lift: 2.213, conv: 6.231)
{1, 2, 23, 27} -> {21} (conf: 0.964, supp: 0.119, lift: 3.374, conv: 19.578)
{1, 2, 21, 27} -> {23} (conf: 0.942, supp: 0.119, lift: 3.216, conv: 12.283)
{1, 2, 21, 23} -> {27} (conf: 0.960, supp: 0.119, lift: 3.401, conv: 18.011)
{1, 21, 24, 25} -> {2} (conf: 0.909, supp: 0.119, lift: 2.223, conv: 6.494)
{1, 2, 24, 25} -> {21} (conf: 0.948, supp: 0.119, lift: 3.319, conv: 13.717)
{1, 2, 21, 25} -> {24} (conf: 0.959, supp: 0.119, lift: 3.301, conv: 17.400)
{1, 2, 21, 24} -> {25} (conf: 0.943, supp: 0.119, lift: 3.291, conv: 12.486)
{1, 21, 24, 27} -> {2} (conf: 0.901, supp: 0.121, lift: 2.203, conv: 5.963)
{1, 2, 24, 27} -> {21} (conf: 0.955, supp: 0.121, lift: 3.344, conv: 15.900)
{1, 2, 21, 27} -> {24} (conf: 0.961, supp: 0.121, lift: 3.308, conv: 18.207)
{1, 2, 21, 24} -> {27} (conf: 0.959, supp: 0.121, lift: 3.398, conv: 17.583)
{1, 21, 25, 27} -> {2} (conf: 0.902, supp: 0.120, lift: 2.205, conv: 6.032)
{1, 2, 25, 27} -> {21} (conf: 0.948, supp: 0.120, lift: 3.321, conv: 13.867)
{1, 2, 21, 27} -> {25} (conf: 0.953, supp: 0.120, lift: 3.326, conv: 15.135)
{1, 2, 21, 25} -> {27} (conf: 0.968, supp: 0.120, lift: 3.428, conv: 22.106)
{1, 23, 24, 25} -> {2} (conf: 0.915, supp: 0.117, lift: 2.238, conv: 6.974)
{1, 2, 24, 25} -> {23} (conf: 0.936, supp: 0.117, lift: 3.195, conv: 11.120)
{1, 2, 23, 25} -> {24} (conf: 0.965, supp: 0.117, lift: 3.320, conv: 20.065)
{1, 2, 23, 24} -> {25} (conf: 0.927, supp: 0.117, lift: 3.235, conv: 9.741)
{1, 23, 24, 27} -> {2} (conf: 0.908, supp: 0.119, lift: 2.221, conv: 6.453)
{1, 2, 24, 27} -> {23} (conf: 0.941, supp: 0.119, lift: 3.211, conv: 12.018)
{1, 2, 23, 27} -> {24} (conf: 0.968, supp: 0.119, lift: 3.332, conv: 22.325)
{1, 2, 23, 24} -> {27} (conf: 0.940, supp: 0.119, lift: 3.332, conv: 12.059)
{1, 23, 25, 27} -> {2} (conf: 0.913, supp: 0.118, lift: 2.233, conv: 6.800)
{1, 2, 25, 27} -> {23} (conf: 0.932, supp: 0.118, lift: 3.179, conv: 10.336)
{1, 2, 23, 27} -> {25} (conf: 0.957, supp: 0.118, lift: 3.340, conv: 16.525)
{1, 2, 23, 25} -> {27} (conf: 0.967, supp: 0.118, lift: 3.427, conv: 22.022)
{1, 24, 25, 27} -> {2} (conf: 0.908, supp: 0.121, lift: 2.220, conv: 6.410)
{1, 2, 25, 27} -> {24} (conf: 0.958, supp: 0.121, lift: 3.296, conv: 16.756)
{1, 2, 24, 27} -> {25} (conf: 0.956, supp: 0.121, lift: 3.338, conv: 16.255)
{1, 2, 24, 25} -> {27} (conf: 0.965, supp: 0.121, lift: 3.420, conv: 20.730)
{1, 18, 20, 21} -> {17} (conf: 0.970, supp: 0.104, lift: 3.131, conv: 23.020)
{1, 17, 20, 21} -> {18} (conf: 0.924, supp: 0.104, lift: 3.115, conv: 9.310)
{1, 17, 18, 21} -> {20} (conf: 0.916, supp: 0.104, lift: 3.069, conv: 8.385)
{1, 17, 18, 20} -> {21} (conf: 0.906, supp: 0.104, lift: 3.174, conv: 7.636)
{1, 18, 20, 23} -> {17} (conf: 0.969, supp: 0.106, lift: 3.128, conv: 22.179)
{1, 17, 20, 23} -> {18} (conf: 0.937, supp: 0.106, lift: 3.159, conv: 11.244)
{1, 17, 18, 23} -> {20} (conf: 0.912, supp: 0.106, lift: 3.055, conv: 7.993)
{1, 17, 18, 20} -> {23} (conf: 0.928, supp: 0.106, lift: 3.168, conv: 9.873)
{1, 20, 23} -> {17, 18} (conf: 0.907, supp: 0.106, lift: 6.118, conv: 9.186)
{1, 18, 20, 24} -> {17} (conf: 0.969, supp: 0.107, lift: 3.129, conv: 22.513)
{1, 17, 20, 24} -> {18} (conf: 0.947, supp: 0.107, lift: 3.192, conv: 13.328)
{1, 17, 18, 24} -> {20} (conf: 0.914, supp: 0.107, lift: 3.061, conv: 8.162)
{1, 17, 18, 20} -> {24} (conf: 0.932, supp: 0.107, lift: 3.209, conv: 10.509)
{1, 20, 24} -> {17, 18} (conf: 0.916, supp: 0.107, lift: 6.176, conv: 10.119)
{1, 18, 20} -> {17, 24} (conf: 0.901, supp: 0.107, lift: 6.150, conv: 8.637)
{1, 18, 20, 25} -> {17} (conf: 0.970, supp: 0.102, lift: 3.131, conv: 22.921)
{1, 17, 20, 25} -> {18} (conf: 0.906, supp: 0.102, lift: 3.053, conv: 7.490)
{1, 17, 18, 25} -> {20} (conf: 0.914, supp: 0.102, lift: 3.062, conv: 8.187)
{1, 18, 20, 27} -> {17} (conf: 0.970, supp: 0.103, lift: 3.132, conv: 23.227)
{1, 17, 20, 27} -> {18} (conf: 0.929, supp: 0.103, lift: 3.130, conv: 9.899)
{1, 17, 18, 27} -> {20} (conf: 0.914, supp: 0.103, lift: 3.063, conv: 8.202)
{1, 17, 18, 20} -> {27} (conf: 0.904, supp: 0.103, lift: 3.203, conv: 7.488)
{1, 17, 21, 23} -> {18} (conf: 0.965, supp: 0.108, lift: 3.252, conv: 20.177)
{1, 17, 18, 23} -> {21} (conf: 0.927, supp: 0.108, lift: 3.247, conv: 9.838)
{1, 17, 18, 21} -> {23} (conf: 0.954, supp: 0.108, lift: 3.256, conv: 15.407)
{1, 17, 21, 24} -> {18} (conf: 0.955, supp: 0.109, lift: 3.219, conv: 15.784)
{1, 17, 18, 24} -> {21} (conf: 0.937, supp: 0.109, lift: 3.280, conv: 11.318)
{1, 17, 18, 21} -> {24} (conf: 0.966, supp: 0.109, lift: 3.325, conv: 20.995)
{1, 17, 21, 25} -> {18} (conf: 0.944, supp: 0.105, lift: 3.179, conv: 12.464)
{1, 17, 18, 25} -> {21} (conf: 0.947, supp: 0.105, lift: 3.315, conv: 13.416)
{1, 17, 18, 21} -> {25} (conf: 0.934, supp: 0.105, lift: 3.259, conv: 10.742)
{1, 17, 21, 27} -> {18} (conf: 0.942, supp: 0.108, lift: 3.175, conv: 12.165)
{1, 17, 18, 27} -> {21} (conf: 0.959, supp: 0.108, lift: 3.358, conv: 17.382)
{1, 17, 18, 21} -> {27} (conf: 0.958, supp: 0.108, lift: 3.395, conv: 17.262)
{1, 17, 23, 24} -> {18} (conf: 0.973, supp: 0.110, lift: 3.277, conv: 25.664)
{1, 17, 18, 24} -> {23} (conf: 0.946, supp: 0.110, lift: 3.229, conv: 13.178)
{1, 17, 18, 23} -> {24} (conf: 0.949, supp: 0.110, lift: 3.265, conv: 13.813)
{1, 17, 23, 25} -> {18} (conf: 0.968, supp: 0.105, lift: 3.261, conv: 21.853)
{1, 17, 18, 25} -> {23} (conf: 0.945, supp: 0.105, lift: 3.224, conv: 12.791)
{1, 17, 18, 23} -> {25} (conf: 0.905, supp: 0.105, lift: 3.161, conv: 7.550)
{1, 17, 23, 27} -> {18} (conf: 0.968, supp: 0.107, lift: 3.263, conv: 22.167)
{1, 17, 18, 27} -> {23} (conf: 0.951, supp: 0.107, lift: 3.245, conv: 14.411)
